Subplot,TreeID,TreeID_Onsite,Stand,Con_DBH,Con_X,Con_Y,Con_Z,Pad_DBH,Pad_X,Pad_Y,Pad_Z,Pho_DBH,Pho_X,Pho_Y,Pho_Z
5,40,732,Nf,23.1,-70022.16397,-110716.5001,-0.993,28.3,-70021.22656,-110715.6875,123.5,31.3,-70025.89062,-110716.0781,124.0
5,41,733,Nf,12.1,-70020.9903,-110714.9809,-1.799,11.8,-70020.07812,-110714.125,122.9,12.1,-70024.84375,-110714.4453,123.5
5,42,734,Nf,38.5,-70020.00974,-110714.4722,-2.041,39.8,-70019.1875,-110713.6484,122.2,38.5,-70023.96875,-110713.8984,123.5
6,1,104,Bp,13.4,-70058.0036,-110803.8173,4.326,12.0,-70057.82812,-110802.2734,128.4,12.6,-70061.66406,-110809.0313,128.9
6,2,105,Bp,48.0,-70061.36305,-110802.2459,3.747,52.5,-70060.90625,-110800.1719,128.4,46.2,-70064.83594,-110807.2188,128.9
6,3,102,Bp,39.6,-70056.46655,-110800.9754,3.701,35.8,-70055.94531,-110799.2969,128.4,40.3,-70060.05469,-110805.9063,128.6
6,4,100_1,Bp,32.5,-70051.81557,-110799.1625,3.692,32.4,-70051.1875,-110798.0234,128.1,37.6,-70055.42188,-110804.3125,128.5
6,5,100_2,Bp,39.9,-70051.74025,-110799.4793,3.7,41.7,-70051.15625,-110798.3906,128.1,35.4,-70055.39062,-110804.6797,128.5
6,6,99_1,Bp,39.2,-70050.41197,-110804.0183,3.968,40.8,-70050.44531,-110803.1406,128.6,36.9,-70054.21875,-110809.1875,128.9
6,7,99_2,Bp,33.3,-70050.09301,-110804.0901,4.162,29.1,-70050.14062,-110803.2969,128.6,35.5,-70053.92188,-110809.375,128.9
6,8,195,Cp,23.2,-70043.92348,-110807.073,4.184,22.1,-70044.38281,-110807.0078,129.1,24.3,-70047.85938,-110812.3203,129.2
6,9,191,Cp,30.5,-70040.16012,-110801.1564,4.118,27.3,-70039.92188,-110801.3516,128.8,27.1,-70044.05469,-110806.3047,129.1
6,10,188,Cp,27.5,-70038.76049,-110798.2954,4.042,24.7,-70038.25,-110798.75,128.6,21.6,-70042.65625,-110803.5078,128.9
6,11,187,Cp,38.5,-70036.77016,-110795.1662,3.813,37.1,-70035.90625,-110795.7422,128.6,32.7,-70040.66406,-110800.3672,128.8
6,12,186,Cp,37.5,-70041.38327,-110796.4784,3.781,40.2,-70040.60938,-110796.7266,128.6,37.8,-70045.27344,-110801.6797,128.5
6,13,189,Cp,31.0,-70042.94215,-110799.4776,3.782,24.3,-70042.48438,-110799.6953,128.7,31.5,-70046.89844,-110804.75,128.8
6,14,190,Cp,31.0,-70044.77817,-110802.3413,3.859,27.9,-70044.55469,-110802.4297,128.7,32.1,-70048.8125,-110807.6016,128.9
6,15,185,Cp,34.9,-70046.32151,-110797.8348,3.592,32.0,-70045.61719,-110797.5859,128.3,33.7,-70050.17188,-110802.9219,128.6
6,16,184,Cp,21.1,-70047.60825,-110792.9248,3.262,24.0,-70046.36719,-110792.6719,128.1,21.8,-70051.35156,-110798.1719,128.1
6,17,180,Cp,20.4,-70048.86646,-110788.1023,2.92,20.9,-70047.13281,-110787.6328,127.6,20.9,-70052.50781,-110793.2656,127.8
6,18,181,Cp,20.2,-70045.57115,-110788.7489,3.062,20.5,-70043.89844,-110788.75,127.9,18.0,-70049.28125,-110794.1094,127.9
6,19,183,Cp,22.0,-70042.6832,-110791.1946,3.298,18.8,-70041.32812,-110791.4609,127.9,19.3,-70046.47656,-110796.5313,128.3
7,1,438,Cp,54.2,-70030.31885,-110776.6657,2.955,54.0,-70029.80469,-110775.2891,127.4,53.3,-70028.78906,-110775.8359,127.4
7,2,426,Cp,16.3,-70034.74993,-110786.0623,3.546,14.9,-70034.39844,-110784.6797,127.7,17.9,-70032.57812,-110785.3281,127.8
7,3,182,Cp,27.0,-70038.13961,-110789.6704,3.61,26.0,-70037.99219,-110788.2109,127.7,25.5,-70035.80469,-110789.0078,128.0
7,4,178,Cp,13.5,-70039.53107,-110785.3197,3.386,13.2,-70039.21094,-110783.8047,127.5,13.5,-70037.38281,-110784.7813,127.7
7,5,179,Cp,28.1,-70044.20706,-110786.6552,3.047,27.6,-70044.05469,-110784.4609,127.5,26.8,-70042.24219,-110785.8203,127.7
7,6,177,Cp,16.6,-70045.44877,-110781.9253,2.999,16.6,-70045.125,-110779.7734,127.2,17.6,-70043.72656,-110781.3438,127.3
7,7,176,Cp,21.0,-70043.68611,-110778.9195,2.847,21.4,-70043.25781,-110776.8516,127.1,24.1,-70042.17188,-110778.2656,127.1
